15		
NJ_1	13	
	1	15
	0	109
	10	108
	20	107
	30	107
	40	106
	50	106
	60	106
	70	107
	80	107
	90	107
	100	108
	105	108
	110	108
	120	109
	126	109
	2	15
	0	109
	10	109
	25	108
	40	107
	50	106
	60	105
	75	105
	80	105
	90	105
	100	105
	125	105
	140	106
	150	106
	160	106
	172	106
	3	15
	0	103
	10	103
	20	103
	30	102
	40	102
	50	102
	60	102
	70	102
	80	102
	90	102
	100	102
	120	102
	130	103
	140	103
	148	104
	4	15
	0	102
	7.5	102
	15	101
	22.5	101
	30	101
	37.5	101
	45	100
	52.5	100
	60	100
	67.5	100
	75	100
	82.5	101
	90	101
	97.5	101
	104	101
	5	15
	0	102
	10	102
	25	102
	40	101
	50	101
	60	101
	75	101
	90	101
	100	100
	110	100
	125	100
	140	100
	150	100
	160	101
	170	101
	6	15
	0	101
	25	101
	50	101
	75	101
	100	101
	125	101
	150	101
	175	101
	200	100
	225	99
	250	98
	275	98
	300	99
	325	100
	357	100
	7	15
	0	96
	10	96
	25	96
	51.2	95
	60	95
	75	95
	90	95
	100	95
	120	95
	125	94
	150	94
	175	94
	189	95
	200	95
	216	95
	8	15
	0	93
	2	92
	25	92
	50	92
	60	92
	75	92
	100	92
	125	92
	140	92
	150	92
	162	91
	175	91
	200	91
	216	92
	226	92
	9	15
	0	89
	25	89
	50	88
	75	88
	100	88
	125	88
	150	88
	200	88
	225	88
	250	88
	275	88
	300	88
	325	88
	336	89
	341	89
	10	15
	0	88
	10	87
	26	86
	44	85
	64	84
	106	83
	125	83
	150	83
	175	83
	200	83
	225	83
	252	84
	265	84
	275	84
	302	84
	11	15
	0	82
	25	81
	50	81
	75	80
	100	80
	125	79
	150	79
	175	78
	200	79
	225	79
	275	79
	300	79
	325	80
	350	81
	356	82
	12	15
	0	80
	10	80
	25	79
	50	78
	75	78
	100	78
	125	78
	150	78
	175	78
	200	79
	215	79
	230	79
	250	80
	260	80
	275	80
	13	15
	0	78
	10	78
	25	77
	50	76
	75	76
	100	76
	125	76
	150	76
	175	76
	200	77
	225	77
	250	77
	275	77
	285	77
	299	77

 NJ_2	4	
	1	15
	0	65
	25	64
	50	64
	75	64
	100	64
	125	64
	150	65
	175	65
	200	65
	225	65
	250	65
	260	65
	275	65
	300	66
	312	66
	2	15
	0	71
	12.5	71
	25	70
	50	70
	75	69
	100	69
	125	69
	150	69
	175	69
	200	69
	215	69
	230	70
	240	70
	250	70
	274	70
	3	15
	0	76
	10	75
	50	75
	73	74
	100	74
	135	73
	150	73
	200	73
	225	72
	250	72
	275	73
	312	74
	350	75
	375	75
	409	75
	4	15
	0	78
	10	77
	26	77
	40	77
	50	77
	70	76
	90	76
	100	76
	125	76
	150	76
	175	76
	200	76
	209	77
	225	77
	247	78
		
 NJ_3	3
	1	15
	0	68
	10	68
	25	68
	40	68
	54.4	67
	75	67
	100	67
	125	67
	140	67
	150	67
	167	68
	175	68
	196	69
	205	69
	211	69
	2	15
	0	73
	25	73
	30	72
	40	72
	50	72
	60	72
	75	72
	90	72
	100	72
	125	72
	130	73
	150	73
	158	74
	175	74
	180	74
	3	15
	0	75
	7.5	74
	15	74
	22.5	74
	30	74
	45	74
	52.5	74
	60	74
	67.5	74
	75	74
	82.5	74
	90	74
	97.5	74
	105	74
	112	75
